date,secid,currency,close,open,low,high,volume,capitalization
2012-07-09,investing:MSCI India,INR,676.24,679.93,673.47,679.93,0,0.0
2012-07-10,investing:MSCI India,INR,684.71,677.59,677.59,685.06,0,0.0
2012-07-11,investing:MSCI India,INR,680.0,681.27,679.34,684.2,0,0.0
2012-07-12,investing:MSCI India,INR,670.21,670.86,667.57,672.86,0,0.0
2012-07-13,investing:MSCI India,INR,668.65,671.17,667.65,674.21,0,0.0
2012-07-16,investing:MSCI India,INR,664.17,669.24,663.47,671.04,0,0.0
2012-07-17,investing:MSCI India,INR,662.75,667.64,661.45,668.75,0,0.0
2012-07-18,investing:MSCI India,INR,665.34,663.46,659.61,666.06,0,0.0
2012-07-19,investing:MSCI India,INR,669.7,669.56,668.71,671.5,0,0.0
2012-07-20,investing:MSCI India,INR,665.68,668.52,664.06,668.97,0,0.0
2012-07-23,investing:MSCI India,INR,654.82,660.75,653.44,660.75,0,0.0
2012-07-24,investing:MSCI India,INR,656.81,655.9,653.12,658.13,0,0.0
2012-07-25,investing:MSCI India,INR,653.71,655.41,649.84,655.46,0,0.0
2012-07-26,investing:MSCI India,INR,644.96,655.49,643.66,655.49,0,0.0
2012-07-27,investing:MSCI India,INR,651.85,654.08,649.29,658.3,0,0.0
2012-07-30,investing:MSCI India,INR,664.35,655.24,655.24,665.06,0,0.0
2012-07-31,investing:MSCI India,INR,668.61,666.08,658.69,669.29,0,0.0
2012-08-01,investing:MSCI India,INR,670.48,667.54,666.87,671.26,0,0.0
2012-08-02,investing:MSCI India,INR,668.86,669.59,666.62,669.74,0,0.0
2012-08-03,investing:MSCI India,INR,667.58,665.3,661.04,668.13,0,0.0
2012-08-06,investing:MSCI India,INR,676.28,672.71,672.71,677.79,0,0.0
2012-08-07,investing:MSCI India,INR,682.87,678.04,676.68,684.8,0,0.0
2012-08-08,investing:MSCI India,INR,683.21,683.96,682.33,688.06,0,0.0
2012-08-09,investing:MSCI India,INR,681.48,684.34,679.83,687.0,0,0.0
2012-08-10,investing:MSCI India,INR,681.47,679.46,678.04,682.62,0,0.0
2012-08-13,investing:MSCI India,INR,686.43,680.76,680.76,686.91,0,0.0
2012-08-14,investing:MSCI India,INR,689.75,685.75,683.62,690.25,0,0.0
2012-08-16,investing:MSCI India,INR,688.29,690.28,687.41,690.95,0,0.0
2012-08-17,investing:MSCI India,INR,688.66,689.05,685.64,693.49,0,0.0
2012-08-21,investing:MSCI India,INR,696.37,688.71,688.71,696.9,0,0.0
2012-08-22,investing:MSCI India,INR,694.94,693.52,693.52,697.43,0,0.0
2012-08-23,investing:MSCI India,INR,695.13,696.49,692.36,699.39,0,0.0
2012-08-24,investing:MSCI India,INR,691.55,692.17,689.49,693.02,0,0.0
2012-08-27,investing:MSCI India,INR,686.57,691.66,686.15,693.16,0,0.0
2012-08-28,investing:MSCI India,INR,684.63,686.21,681.15,687.51,0,0.0
2012-08-29,investing:MSCI India,INR,678.72,685.53,677.96,685.53,0,0.0
2012-08-30,investing:MSCI India,INR,682.71,676.44,674.72,684.53,0,0.0
2012-08-31,investing:MSCI India,INR,675.39,680.64,672.65,681.32,0,0.0
2012-09-03,investing:MSCI India,INR,674.11,677.48,672.88,679.74,0,0.0
2012-09-04,investing:MSCI India,INR,677.33,673.68,672.13,677.79,0,0.0
2012-09-05,investing:MSCI India,INR,671.93,673.95,670.57,675.73,0,0.0
2012-09-06,investing:MSCI India,INR,674.53,670.88,670.88,677.22,0,0.0
2012-09-07,investing:MSCI India,INR,686.61,682.68,682.68,687.17,0,0.0
2012-09-10,investing:MSCI India,INR,689.95,689.09,687.89,690.85,0,0.0
2012-09-11,investing:MSCI India,INR,693.16,686.63,686.3,693.54,0,0.0
2012-09-12,investing:MSCI India,INR,698.17,694.85,693.77,698.56,0,0.0
2012-09-13,investing:MSCI India,INR,697.92,698.51,696.08,699.49,0,0.0
2012-09-14,investing:MSCI India,INR,715.42,708.52,708.52,716.52,0,0.0
2012-09-17,investing:MSCI India,INR,719.57,721.67,715.8,723.66,0,0.0
2012-09-18,investing:MSCI India,INR,719.11,718.78,717.44,721.38,0,0.0
2012-09-20,investing:MSCI India,INR,714.03,711.75,711.75,717.2,0,0.0
2012-09-21,investing:MSCI India,INR,729.67,716.45,716.45,733.21,0,0.0
2012-09-24,investing:MSCI India,INR,728.55,729.72,727.77,733.2,0,0.0
2012-09-25,investing:MSCI India,INR,729.66,729.06,726.43,732.88,0,0.0
2012-09-26,investing:MSCI India,INR,727.83,726.9,724.95,729.91,0,0.0
2012-09-27,investing:MSCI India,INR,726.63,727.95,725.02,731.77,0,0.0
2012-09-28,investing:MSCI India,INR,733.64,730.96,730.96,737.7,0,0.0
2012-10-01,investing:MSCI India,INR,735.93,734.07,732.55,736.59,0,0.0
2012-10-03,investing:MSCI India,INR,738.65,736.94,736.49,740.56,0,0.0
2012-10-04,investing:MSCI India,INR,745.28,741.04,741.04,747.81,0,0.0
2012-10-05,investing:MSCI India,INR,739.53,748.34,725.62,748.37,0,0.0
2012-10-08,investing:MSCI India,INR,730.25,740.15,729.05,740.15,0,0.0
2012-10-09,investing:MSCI India,INR,733.87,734.12,730.12,737.09,0,0.0
2012-10-10,investing:MSCI India,INR,726.0,729.71,725.4,731.44,0,0.0
2012-10-11,investing:MSCI India,INR,733.59,727.42,723.82,735.08,0,0.0
2012-10-12,investing:MSCI India,INR,729.1,729.43,727.69,735.42,0,0.0
2012-10-15,investing:MSCI India,INR,729.58,728.79,725.97,730.44,0,0.0
2012-10-16,investing:MSCI India,INR,724.03,732.06,722.6,732.96,0,0.0
2012-10-17,investing:MSCI India,INR,724.83,726.18,721.35,728.53,0,0.0
2012-10-18,investing:MSCI India,INR,732.09,726.57,723.73,732.48,0,0.0
2012-10-19,investing:MSCI India,INR,726.96,730.16,723.82,730.92,0,0.0
2012-10-22,investing:MSCI India,INR,731.08,725.12,723.83,731.48,0,0.0
2012-10-23,investing:MSCI India,INR,727.3,730.84,726.22,731.2,0,0.0
